pid,5,9,12,14,16,19,20,22,30,31,36,37,42,46,52,53,60,61,65,67,75,76,77,78,79,80,81,89,93,94,95,100,102,105,107,112,117,122,124,126,129,130,134,135,136,138,140,141,142,143,144,146,147,148,149,150
P17,no,yes,yes,yes,yes,abstain,yes,skip,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,abstain,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,abstain,abstain,no,yes,no,no,no,yes,yes,yes,skip
P30,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes
P03,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no
P21,no,skip,skip,skip,yes,yes,no,no,skip,no,yes,skip,yes,skip,yes,no,skip,no,no,no,yes,skip,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no
P09,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes
P31,skip,skip,no,skip,skip,skip,skip,skip,skip,skip,skip,skip,yes,skip,skip,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes
P15,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no
P24,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,skip,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no
P12,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes
P04,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no
P36,skip,skip,skip,skip,yes,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,skip,no,yes,no,no
P05,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes
P27,yes,no,skip,yes,yes,yes,skip,no,no,skip,yes,yes,skip,yes,skip,no,yes,skip,skip,no,skip,yes,skip,skip,skip,skip,skip,no,skip,no,skip,no,skip,no,skip,skip,yes,yes,no,skip,skip,yes,skip,yes,no,no,skip,skip,skip,no,yes,yes,no,yes,yes,abstain
P32,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,yes,skip,skip,skip,skip,skip,yes,skip,skip,yes,skip,yes,skip,skip,skip,skip,yes,skip,skip,skip,skip,yes,skip,skip,yes,yes,abstain,yes,no,yes,yes,skip,skip,yes,no,no,skip,skip,skip,skip
P33,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,abstain,yes,yes,yes,yes,abstain,abstain,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,abstain,yes,yes,yes,yes,no,no,no,abstain,yes,yes
P26,no,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes
P08,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
P34,no,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes
P29,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
P16,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,yes
P28,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes
P18,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes
P11,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes
P13,yes,no,no,yes,yes,yes,no,yes,no,no,abstain,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes
P20,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
P35,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes
P07,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes
P22,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
P25,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes
P19,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip
P14,yes,yes,yes,no,yes,yes,skip,no,yes,yes,no,skip,yes,abstain,yes,skip,yes,skip,skip,yes,skip,yes,skip,skip,yes,yes,yes,yes,yes,no,skip,no,skip,no,skip,yes,abstain,skip,yes,yes,no,yes,yes,no,no,yes,skip,no,no,yes,skip,skip,skip,yes,skip,no
P23,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no
P06,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,skip,yes
P37,no,no,no,skip,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes
P01,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes
P02,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no
P10,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes
